College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City,State,Country,College Type,Average Fees,Matched Courses
"Government College of Engineering, Karad",Co-Ed,,1970.0,81.0,1960.0,4.4,"Dr Babasaheb Ambedkar Marathwada University, Aurangabad","Boys Hostel, Girls Hostel, Library, Cafeteria, Wifi, IT Infrastructure",Aurangabad,Maharashtra,India,Public/Government,199963.0434782609,"['Civil Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Information Technology', 'Mechanical Engineering', 'Civil Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Electronics and Computer Engineering', 'Production Engineering', 'Structural Engineering', 'Structural Engineering', 'Electronics Engineering', 'Electrical Engineering']"
Bharati Vidyapeeth Deemed University College of Engineering,Co-Ed,85 Acres,3159.0,177.0,1983.0,2.9,"Bharati Vidyapeeth, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,341931.0344827586,"['Computer Science and Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Mechanical Engineering', 'Petro Chemical Engineering', 'Civil Engineering', 'Computer Science and Business Systems', 'Electrical Engineering', 'Information Technology', 'Production Engineering', 'Automation and Robotics', 'Computer Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Electronics Engineering', 'Petro Chemical Engineering', 'Computer Science and Engineering', 'Information Technology', 'Electronics Engineering ( VLSI Design and Technology)', 'Chemical Engineering', 'Civil Engineering', 'Electrical Engineering', 'Information Technology', 'Production Engineering']"
University of Mumbai,Co-Ed,243 Acres,78034.0,229.0,1857.0,2.8,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Alumni Associations",Mumbai,Maharashtra,India,Public/Government,126891.45161290324,"['Information Technology', 'Computer Science and Engineering', 'Information Technology', 'Information Technology', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Information Technology', 'Information Technology', 'Information Technology', 'Information Technology', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Pharmaceuticals Chemistry and Technology', 'Pharmaceuticals Chemistry and Technology', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Information Technology', 'Information Technology', 'Information Technology', 'Information Technology', 'Information Technology', 'Information Technology', 'Information Technology', 'Information Technology', 'Information Technology', 'Information Technology', 'Civil Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Electronics and Computer Engineering', 'Electronics and Computer Engineering']"
Army Institute of Technology,Co-Ed,30 Acres,1287.0,72.0,1994.0,3.0,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,591800.0,"['Computer Science and Engineering', 'Electronics Engineering', 'Information Technology', 'Mechanical Engineering', 'Mechanical Engineering']"
KJ Somaiya College of Engineering,Co-Ed,4 Acres,2993.0,177.0,1983.0,3.0,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Mumbai,Maharashtra,India,Private,492272.7272727273,"['Computer Science and Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Information Technology', 'Mechanical Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Electronics and Computer Engineering', 'Mechanical Engineering']"
SCTR's Pune Institute of Computer Technology,Co-Ed,5 Acres,3111.0,117.0,1983.0,4.8,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,314666.6666666667,"['Computer Science and Engineering', 'Electronics Engineering', 'Information Technology', 'Computer Engineering', 'Electronics Engineering', 'Computer Science and Engineering', 'Computer Engineering', 'Electronics Engineering', 'Information Technology']"
Sardar Patel College of Engineering,Co-Ed,45 Acres,1024.0,45.0,1962.0,2.8,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,163875.0,"['Civil Engineering', 'Electrical Engineering', 'Mechanical Engineering', 'Structural Engineering', 'Civil Engineering', 'Electrical Engineering', 'Mechanical Engineering']"
Dr Vishwanath Karad MIT World Peace University,Co-Ed,52 Acres,4702.0,511.0,2017.0,3.0,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Swimming Pool, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,755792.4528301887,"['Computer Science and Engineering', 'Computer Science and Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Electronics Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Petro Chemical Engineering', 'Electrical Engineering', 'Plastic and Polymer Engineering', 'Automation and Robotics', 'Automation and Robotics', 'Civil Engineering', 'Information Technology', 'Plastic and Polymer Engineering', 'Mechanical Engineering', 'Data Science', 'Electronics Engineering ( VLSI Design and Technology)', 'Structural Engineering', 'Cyber Security', 'Plastic and Polymer Engineering', 'Computer Science and Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Information Technology', 'Structural Engineering', 'Plastic and Polymer Engineering', 'Civil Engineering', 'Electronics and Computer Engineering', 'Mechanical Engineering', 'Plastic and Polymer Engineering']"
Sardar Patel Institute of Technology,Co-Ed,47 Acres,1397.0,59.0,2005.0,4.8,"University of Mumbai, Mumbai","Gym, Library, Sports, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,492428.5714285714,"['Computer Science and Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Information Technology', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering']"
"Walchand College of Engineering, Sangli",Co-Ed,90 Acres,546.0,110.0,1947.0,4.3,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations",Sangli,Maharashtra,India,Private,202910.0,"['Computer Science and Engineering', 'Civil Engineering', 'Electrical Engineering', 'Electronics and Computer Engineering', 'Information Technology', 'Mechanical Engineering', 'Electrical Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Information Technology', 'Electronics Engineering ( VLSI Design and Technology)', 'Electronics and Computer Engineering', 'Production Engineering', 'Structural Engineering', 'Civil and Environmental Engineering']"
"Shri Ramdeobaba College of Engineering and Management, Nagpur",Co-Ed,,4685.0,256.0,1984.0,4.5,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6666666667,"['Electronics and Computer Engineering', 'Civil Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Information Technology', 'Mechanical Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Computer Science and Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Structural Engineering', 'Civil Engineering', 'Electrical Engineering', 'Mechanical Engineering', 'Computer Science and Engineering', 'Electronics and Computer Engineering']"
Shivaji University,Co-Ed,853 Acres,23820.0,179.0,1962.0,3.1,,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Kolhapur,Maharashtra,India,Public/Government,231342.1830985916,"['Pharmaceuticals Chemistry and Technology', 'Pharmaceuticals Chemistry and Technology', 'Computer Science and Engineering', 'Bio Technology', 'Computer Science and Engineering', 'Mechanical Engineering', 'Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology)', 'Computer Science and Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Computer Science and Engineering', 'Pharmaceuticals Chemistry and Technology', 'Civil Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Mechanical Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Information Technology', 'Bio Technology', 'Food Technology And Management', 'Computer Science and Engineering', 'Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology)', 'Information Technology', 'Food Technology', 'Automobile Engineering', 'Bio Technology', 'Pharmaceutical and Fine Chemical Technology', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Information Technology', 'Computer Science and Technology', 'Computer Science and Technology', 'Electrical Engineering', 'Electrical Engineering', 'Electrical Engineering', 'Electrical Engineering', 'Electrical Engineering', 'Electrical Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Electronics and Computer Engineering', 'Civil and Environmental Engineering', 'Food Technology', 'Food Technology', 'Information Technology', 'Information Technology', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechanical Engineering', 'Production Engineering', 'Textile Chemistry', 'Textile Engineering / Technology', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Aeronautical Engineering', 'Automobile Engineering', 'Petro Chemical Engineering']"
"MIT Academy of Engineering,Alandi, Pune",Co-Ed,11 Acres,3030.0,171.0,1999.0,3.9,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5454545455,"['Mechanical Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Petro Chemical Engineering', 'Civil Engineering', 'Electronics and Computer Engineering', 'Information Technology', 'Computer Science and Engineering', 'Mechanical Engineering', 'Mechanical Engineering']"
"Government College of Engineering, Karad",Co-Ed,114 Acres,910.0,74.0,1964.0,4.3,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Amravati,Maharashtra,India,Public/Government,238733.3333333333,"['Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Information Technology', 'Mechanical Engineering', 'Instrumentation Engineering', 'Computer Science and Engineering', 'Production Engineering', 'Structural Engineering', 'Civil and Environmental Engineering', 'Electrical Engineering']"
"Vidyalankar Institute of Technology,Wadala, Mumbai",Co-Ed,11 Acres,3563.0,167.0,1999.0,3.9,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility",Mumbai,Maharashtra,India,Private,433583.3333333333,"['Computer Science and Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Information Technology', 'Bio Medical Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Information Technology', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics Engineering', 'Information Technology']"
Vishwakarma Institute of Information Technology,Co-Ed,6 Acres,3502.0,182.0,2002.0,4.5,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Banks Facilities",Pune,Maharashtra,India,Private,463461.5384615384,"['Civil Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Information Technology', 'Mechanical Engineering', 'Computer Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Computer Science and Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Structural Engineering', 'Civil and Environmental Engineering', 'Civil Engineering', 'Electronics Engineering', 'Mechanical Engineering']"
Dr DY Patil Institute of Technology,Co-Ed,10 Acres,3623.0,201.0,1998.0,3.0,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Banks Facilities",Pune,Maharashtra,India,Private,337428.5714285714,"['Computer Science and Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Electrical Engineering', 'Information Technology', 'Instrumentation Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Mechanical Engineering']"
Rashtrasant Tukadoji Maharaj Nagpur University,Co-Ed,318 Acres,4845.0,183.0,1923.0,3.0,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Convenience Store, Alumni Associations, Guest Room",Nagpur,Maharashtra,India,Public/Government,179761.62162162163,"['Bio Technology', 'Mechanical Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Information Technology', 'Mechanical Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Information Technology', 'Mechanical Engineering', 'Mechanical Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering', 'Computer Science and Technology', 'Computer Science and Technology', 'Electrical Engineering', 'Electrical Engineering', 'Electrical Engineering', 'Electrical Engineering', 'Electrical Engineering']"
Mukesh Patel School of Technology Management and Engineering,Co-Ed,,,207.0,2006.0,2.9,"Narsee Monjee Institute of Management Studies, Mumbai","Boys Hostel, Girls Hostel, Library, IT Infrastructure, Laboratories",Mumbai,Maharashtra,India,Private,1876850.0,"['Computer Engineering', 'Civil Engineering', 'Computer Engineering', 'Electronics Engineering', 'Information Technology', 'Mechanical Engineering', 'Artificial Intelligence (AI) and Data Science', 'Civil Engineering', 'Computer Science and Engineering', 'Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology)', 'Artificial Intelligence (AI) and Data Science', 'Electronics Engineering', 'Electronics Engineering', 'Information Technology', 'Mechanical Engineering', 'Mechanical Engineering', 'Mechatronics Engineering', 'Chemical Engineering', 'Artificial Intelligence (AI) and Data Science', 'Cyber Security', 'Data Science', 'Computer Science and Engineering', 'Electronics Engineering', 'Petro Chemical Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Information Technology', 'Mechanical Engineering']"
GH Raisoni College of Engineering,Co-Ed,7 Acres,5406.0,182.0,1996.0,3.4,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations",Nagpur,Maharashtra,India,Private,377869.5652173913,"['Computer Science and Engineering', 'Information Technology', 'Civil Engineering', 'Electrical Engineering', 'Mechanical Engineering', 'Artificial Intelligence (AI) and Data Science', 'Electronics Engineering', 'Electronics and Computer Engineering', 'Electronics and Communication Engineering', 'Structural Engineering', 'Computer Science and Engineering', 'Electronics Engineering', 'Computer Science and Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Civil Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Information Technology', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics and Computer Engineering', 'Mechanical Engineering']"
AISSMS College of Engineering,Co-Ed,11 Acres,3021.0,120.0,1992.0,3.9,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility",Pune,Maharashtra,India,Private,450437.5,"['Civil Engineering', 'Mechanical Engineering', 'Petro Chemical Engineering', 'Computer Science and Engineering', 'Computer Engineering', 'Electrical Engineering', 'Electronics Engineering', 'Mechanical Engineering', 'Production Engineering', 'Automotive Technology', 'Petro Chemical Engineering', 'Computer Science and Engineering', 'Electronics Engineering ( VLSI Design and Technology)', 'Structural Engineering']"
